epoch,training_objective,validation_mse
1,225.57605151367187,0.06382955360412598
2,190.9031395263672,0.058067635536193846
3,175.37251330566406,0.05529267597198486
4,153.93743542480468,0.04869045543670654
5,142.37417877197265,0.04498969554901123
6,133.1130458984375,0.037379988193511966
7,124.42531060791016,0.03784949612617493
8,119.71741589355469,0.03787849521636963
9,116.61514990234375,0.037723535060882565
10,114.40903442382813,0.035387300491333006
