epoch,training_objective,validation_mse
1,0.04831713932752609,0.03621343755722046
2,0.030780885636806487,0.026329903602600097
3,0.024028912141919136,0.022946327924728394
4,0.022592517852783205,0.0219158353805542
5,0.021227626115083695,0.02084951376914978
6,0.020669038206338884,0.020163931846618653
7,0.019818427115678786,0.01938419556617737
8,0.018933341056108475,0.018642876386642457
9,0.018028370007872583,0.017418527841567992
10,0.016951594918966292,0.016910369277000428
